Model,MSE,R2
Linear_with_outlier,2642483715.1941447,0.6554926552252592
Linear_no_outlier,416219349.2756542,0.8988460767591753
Poly_deg2,13171427951.96883,-2.2010564005353914
Poly_deg3,4745127110.486484,-0.15320977829942062
KNN_k3,1539015718.5191743,0.6259725115412426
KNN_k5,1471637302.1242478,0.642347509897186
KNN_k7,1578438638.5674553,0.6163915465153904
